Year,Make,Model,Trim,MSRP,Sales Price,Price Difference
2023,,Jeep CHEROKEE ,ALTITUDE LUX 4X4,"$39,785","$34,012",5773.0
2023,,Jeep CHEROKEE ,ALTITUDE LUX 4X4,"$39,785","$34,012",5773.0
2023,,RAM 5500 Chassis Cab ,TRADESMAN CHASSIS CREW CAB 4X2 60' CA,"$39,785","$34,012",5773.0
2023,,RAM 3500 ,LARAMIE CREW CAB 4X4 8' BOX,"$39,785","$34,012",5773.0
2023,,Jeep Wrangler ,SAHARA 4xe,"$39,290","$39,785",-495.0
2023,,Jeep COMPASS ,SPORT 4X4,"$39,290","-$4,773",44063.0
2023,,RAM 2500 ,BIG HORN CREW CAB 4X4 6'4' BOX,"$39,290","$35,012",4278.0
2023,,RAM 2500 ,TRADESMAN CREW CAB 4X4 6'4' BOX,"$39,290",$0,39290.0
2023,,RAM 2500 ,REBEL CREW CAB 4X4 6'4' BOX,"$70,660","$39,785",30875.0
2023,,Dodge DURANGO ,R/T PLUS AWD,"$70,660","-$4,773",75433.0
2023,,RAM 1500 ,BIG HORN QUAD CAB 4X2 6'4' BOX,"$70,660","$35,012",35648.0
2023,,Dodge DURANGO ,R/T PLUS RWD,"$70,660",$0,70660.0
